Id,Quality
222,4
1514,5
417,5
754,5
516,6
1120,6
180,5
82,5
632,6
592,5
501,7
1586,7
1096,6
1101,6
1488,5
700,5
631,6
1022,4
1420,5
882,7
1170,7
911,6
124,5
1417,7
681,5
63,4
1010,7
418,6
399,5
1265,6
999,5
452,6
347,7
778,6
607,6
32,5
511,5
1035,7
1270,7
723,5
838,7
485,6
142,7
1470,5
1238,5
158,5
426,4
344,6
637,5
1578,6
944,7
469,4
148,6
279,7
1144,5
509,7
1073,6
1423,7
280,6
848,5
650,5
1092,6
76,7
1302,7
1148,7
100,5
533,7
1328,5
253,5
1344,6
544,6
352,5
1367,5
1300,4
635,4
750,5
1479,5
476,6
1355,5
546,6
196,6
1210,6
43,6
1013,4
1378,5
471,7
1410,5
1004,6
740,7
697,6
127,5
1069,6
1319,5
741,5
626,5
621,5
1195,6
339,6
556,6
162,5
1555,6
695,7
457,5
1045,6
12,5
524,5
489,7
453,7
1282,6
423,7
290,6
744,5
435,5
955,6
1055,5
819,3
302,4
455,6
1274,6
710,5
1568,5
72,5
156,5
86,5
1252,3
1280,6
1130,4
1499,4
1434,5
564,6
1559,5
396,5
1081,7
293,6
652,7
1312,4
120,5
220,6
1391,5
1324,6
492,7
427,3
596,5
771,5
538,6
107,5
1436,5
193,5
1370,5
843,5
506,7
388,5
197,7
655,5
1508,6
799,6
194,5
1414,5
1059,6
1487,6
565,5
1333,5
1250,6
871,6
421,7
1336,5
1224,8
813,6
249,4
721,5
1026,6
781,6
808,5
809,6
111,5
766,5
1070,7
497,6
292,6
1529,4
1060,7
56,5
42,6
1535,6
190,5
79,5
1219,7
1384,5
269,6
833,6
1379,6
551,6
947,7
3,6
934,6
749,6
1553,4
1036,6
1107,7
1168,6
1577,4
1291,6
578,5
85,5
1089,7
366,7
90,5
752,5
1590,6
617,7
146,5
241,7
790,6
1116,4
392,5
770,5
395,6
306,5
416,7
512,6
729,4
1415,6
677,5
793,4
94,5
466,7
96,5
325,6
1359,6
16,6
1076,7
900,7
1556,4
1057,5
877,6
953,7
1400,5
1127,4
260,6
608,5
1549,7
376,6
1048,6
1485,5
1471,5
1110,6
1493,5
1019,6
1078,7
1152,5
1395,5
1277,3
1321,6
1234,5
412,4
1111,6
335,6
1526,6
2,4
6,5
1281,6
745,6
1008,7
298,6
415,5
736,3
679,6
1220,7
439,5
989,6
500,6
1053,7
611,5
1335,6
595,5
361,6
35,3
1237,5
67,4
155,5
80,5
1147,6
296,5
170,5
1439,6
946,7
